"","ensembl_gene_id","external_gene_name","refseq_mrna"
"2900","ENSG00000008988","RPS20","NM_001023"
"2901","ENSG00000197062","ZSCAN26","NM_001023560"
"2902","ENSG00000186230","ZNF749","NM_001023561"
"2903","ENSG00000204524","ZNF805","NM_001023563"
"2904","ENSG00000215252","GOLGA8B","NM_001023567"
"2905","ENSG00000173226","IQCB1","NM_001023570"
"2906","ENSG00000173226","IQCB1","NM_001023571"
"2907","ENSG00000114770","ABCC5","NM_001023587"
"2908","ENSG00000171858","RPS21","NM_001024"
"2909","ENSG00000131979","GCH1","NM_001024024"
"2910","ENSG00000131979","GCH1","NM_001024070"
"2911","ENSG00000131979","GCH1","NM_001024071"
"2912","ENSG00000150540","HNMT","NM_001024074"
"2913","ENSG00000150540","HNMT","NM_001024075"
"2914","ENSG00000113580","NR3C1","NM_001024094"
"2915","ENSG00000203785","SPRR2E","NM_001024209"
"2916","ENSG00000189171","S100A13","NM_001024210"
"2917","ENSG00000189171","S100A13","NM_001024211"
"2918","ENSG00000189171","S100A13","NM_001024212"
"2919","ENSG00000189171","S100A13","NM_001024213"
"2920","ENSG00000162458","FBLIM1","NM_001024215"
"2921","ENSG00000162458","FBLIM1","NM_001024216"
"2922","ENSG00000171723","GPHN","NM_001024218"
"2923","ENSG00000143761","ARF1","NM_001024226"
"2924","ENSG00000143761","ARF1","NM_001024227"
"2925","ENSG00000143761","ARF1","NM_001024228"
"2926","ENSG00000164929","BAALC","NM_001024372"
"2927","ENSG00000169490","TM2D2","NM_001024380"
"2928","ENSG00000169490","TM2D2","NM_001024381"
"2929","ENSG00000256269","HMBS","NM_001024382"
"2930","ENSG00000188322","SBK1","NM_001024401"
"2931","ENSG00000242732","RTL5","NM_001024455"
"2932","ENSG00000187627","RGPD1","NM_001024457"
"2933","ENSG00000291237","SOD2","NM_001024465"
"2934","ENSG00000291237","SOD2","NM_001024466"
"2935","ENSG00000166343","MSS51","NM_001024593"
"2936","ENSG00000203724","C1orf53","NM_001024594"
"2937","ENSG00000197128","ZNF772","NM_001024596"
"2938","ENSG00000173673","HES3","NM_001024598"
"2939","ENSG00000203814","H2BC18","NM_001024599"
"2940","ENSG00000185523","SPATA45","NM_001024601"
"2941","ENSG00000188993","LRRC66","NM_001024611"
"2942","ENSG00000128610","FEZF1","NM_001024613"
"2943","ENSG00000099250","NRP1","NM_001024628"
"2944","ENSG00000099250","NRP1","NM_001024629"
"2945","ENSG00000124813","RUNX2","NM_001024630"
"2946","ENSG00000173578","XCR1","NM_001024644"
"2947","ENSG00000127328","RAB3IP","NM_001024647"
"2948","ENSG00000283777","CANX","NM_001024649"
"2949","ENSG00000127022","CANX","NM_001024649"
"2950","ENSG00000204653","ASPDH","NM_001024656"
"2951","ENSG00000160145","KALRN","NM_001024660"
"2952","ENSG00000204481","PRAMEF14","NM_001024661"
"2953","ENSG00000089009","RPL6","NM_001024662"
"2954","ENSG00000147010","SH3KBP1","NM_001024666"
"2955","ENSG00000205659","LIN52","NM_001024674"
"2956","ENSG00000288649","ACTL10","NM_001024675"
"2957","ENSG00000254402","LRRC24","NM_001024678"
"2958","ENSG00000198854","C1orf68","NM_001024679"
"2959","ENSG00000204923","FBXO48","NM_001024680"
"2960","ENSG00000229809","ZNF688","NM_001024683"
"2961","ENSG00000116353","MECR","NM_001024732"
"2962","ENSG00000103855","CD276","NM_001024736"
"2963","ENSG00000105290","APLP1","NM_001024807"
"2964","ENSG00000110987","BCL7A","NM_001024808"
"2965","ENSG00000131759","RARA","NM_001024809"
"2966","ENSG00000258436","RNASE12","NM_001024822"
"2967","ENSG00000100354","TNRC6B","NM_001024843"
"2968","ENSG00000085117","CD82","NM_001024844"
"2969","ENSG00000196517","SLC6A9","NM_001024845"
"2970","ENSG00000163513","TGFBR2","NM_001024847"
"2971","ENSG00000281709","ZNF197","NM_001024855"
"2972","ENSG00000186448","ZNF197","NM_001024855"
"2973","ENSG00000070182","SPTB","NM_001024858"
"2974","ENSG00000079385","CEACAM1","NM_001024912"
"2975","ENSG00000147996","ZNG1E","NM_001024916"
"2976","ENSG00000163682","RPL9","NM_001024921"
"2977","ENSG00000090989","EXOC1","NM_001024924"
"2978","ENSG00000112290","WASF1","NM_001024934"
"2979","ENSG00000112290","WASF1","NM_001024935"
"2980","ENSG00000112290","WASF1","NM_001024936"
"2981","ENSG00000141503","MINK1","NM_001024937"
"2982","ENSG00000275744","SLC2A11","NM_001024938"
"2983","ENSG00000133460","SLC2A11","NM_001024938"
"2984","ENSG00000275744","SLC2A11","NM_001024939"
"2985","ENSG00000133460","SLC2A11","NM_001024939"
"2986","ENSG00000162931","TRIM17","NM_001024940"
"2987","ENSG00000126522","ASL","NM_001024943"
"2988","ENSG00000126522","ASL","NM_001024944"
"2989","ENSG00000126522","ASL","NM_001024946"
"2990","ENSG00000145817","YIPF5","NM_001024947"
"2991","ENSG00000137942","FNBP1L","NM_001024948"
"2992","ENSG00000109929","SC5D","NM_001024956"
"2993","ENSG00000174744","BRMS1","NM_001024957"
"2994","ENSG00000241553","ARPC4","NM_001024959"
"2995","ENSG00000241553","ARPC4","NM_001024960"
"2996","ENSG00000186468","RPS23","NM_001025"
"2997","ENSG00000172995","ARPP21","NM_001025068"
"2998","ENSG00000172995","ARPP21","NM_001025069"
"2999","ENSG00000164587","RPS14","NM_001025070"
"3000","ENSG00000164587","RPS14","NM_001025071"
"3001","ENSG00000048740","CELF2","NM_001025076"
"3002","ENSG00000048740","CELF2","NM_001025077"
"3003","ENSG00000197971","MBP","NM_001025081"
"3004","ENSG00000101489","CELF4","NM_001025087"
"3005","ENSG00000101489","CELF4","NM_001025088"
"3006","ENSG00000101489","CELF4","NM_001025089"
"3007","ENSG00000197971","MBP","NM_001025090"
"3008","ENSG00000236149","ABCF1","NM_001025091"
"3009","ENSG00000231129","ABCF1","NM_001025091"
"3010","ENSG00000232169","ABCF1","NM_001025091"
"3011","ENSG00000236342","ABCF1","NM_001025091"
"3012","ENSG00000225989","ABCF1","NM_001025091"
"3013","ENSG00000206490","ABCF1","NM_001025091"
"3014","ENSG00000204574","ABCF1","NM_001025091"
"3015","ENSG00000197971","MBP","NM_001025092"
"3016","ENSG00000154611","PSMA8","NM_001025096"
"3017","ENSG00000154611","PSMA8","NM_001025097"
"3018","ENSG00000197971","MBP","NM_001025100"
"3019","ENSG00000197971","MBP","NM_001025101"
"3020","ENSG00000126545","CSN1S1","NM_001025104"
"3021","ENSG00000113712","CSNK1A1","NM_001025105"
"3022","ENSG00000160710","ADAR","NM_001025107"
"3023","ENSG00000144218","AFF3","NM_001025108"
"3024","ENSG00000174059","CD34","NM_001025109"
"3025","ENSG00000019582","CD74","NM_001025158"
"3026","ENSG00000019582","CD74","NM_001025159"
"3027","ENSG00000123146","ADGRE5","NM_001025160"
"3028","ENSG00000283284","CYP2D6","NM_001025161"
"3029","ENSG00000272532","CYP2D6","NM_001025161"
"3030","ENSG00000280905","CYP2D6","NM_001025161"
"3031","ENSG00000275211","CYP2D6","NM_001025161"
"3032","ENSG00000100197","CYP2D6","NM_001025161"
"3033","ENSG00000282966","CYP2D6","NM_001025161"
"3034","ENSG00000262243","CES1","NM_001025194"
"3035","ENSG00000198848","CES1","NM_001025194"
"3036","ENSG00000262243","CES1","NM_001025195"
"3037","ENSG00000198848","CES1","NM_001025195"
"3038","ENSG00000064886","CHI3L2","NM_001025197"
"3039","ENSG00000064886","CHI3L2","NM_001025199"
"3040","ENSG00000284810","CTRB2","NM_001025200"
"3041","ENSG00000168928","CTRB2","NM_001025200"
"3042","ENSG00000128656","CHN1","NM_001025201"
"3043","ENSG00000160201","U2AF1","NM_001025203"
"3044","ENSG00000160201","U2AF1","NM_001025204"
"3045","ENSG00000161203","AP2M1","NM_001025205"
"3046","ENSG00000203786","KPRP","NM_001025231"
"3047","ENSG00000214063","TSPAN4","NM_001025234"
"3048","ENSG00000214063","TSPAN4","NM_001025235"
"3049","ENSG00000214063","TSPAN4","NM_001025236"
"3050","ENSG00000214063","TSPAN4","NM_001025237"
"3051","ENSG00000214063","TSPAN4","NM_001025238"
"3052","ENSG00000214063","TSPAN4","NM_001025239"
"3053","ENSG00000184216","IRAK1","NM_001025242"
"3054","ENSG00000184216","IRAK1","NM_001025243"
"3055","ENSG00000135801","TAF5L","NM_001025247"
"3056","ENSG00000128951","DUT","NM_001025248"
"3057","ENSG00000128951","DUT","NM_001025249"
"3058","ENSG00000076554","TPD52","NM_001025252"
"3059","ENSG00000076554","TPD52","NM_001025253"
"3060","ENSG00000204165","CXorf65","NM_001025265"
"3061","ENSG00000187068","C3orf70","NM_001025266"
"3062","ENSG00000203909","DPPA5","NM_001025290"
"3063","ENSG00000206013","IFITM5","NM_001025295"
"3064","ENSG00000206418","RAB12","NM_001025300"
"3065","ENSG00000177119","ANO6","NM_001025356"
"3066","ENSG00000205002","AARD","NM_001025357"
"3067","ENSG00000112715","VEGFA","NM_001025366"
"3068","ENSG00000112715","VEGFA","NM_001025367"
"3069","ENSG00000112715","VEGFA","NM_001025368"
"3070","ENSG00000112715","VEGFA","NM_001025369"
"3071","ENSG00000112715","VEGFA","NM_001025370"
"3072","ENSG00000133805","AMPD3","NM_001025389"
"3073","ENSG00000133805","AMPD3","NM_001025390"
"3074","ENSG00000181019","NQO1","NM_001025433"
"3075","ENSG00000181019","NQO1","NM_001025434"
"3076","ENSG00000144451","SPAG16","NM_001025436"
"3077","ENSG00000166579","NDEL1","NM_001025579"
"3078","ENSG00000101935","AMMECR1","NM_001025580"
"3079","ENSG00000205209","SCGB2B2","NM_001025591"
"3080","ENSG00000164144","ARFIP1","NM_001025593"
"3081","ENSG00000164144","ARFIP1","NM_001025595"
"3082","ENSG00000149187","CELF1","NM_001025596"
"3083","ENSG00000186517","ARHGAP30","NM_001025598"
"3084","ENSG00000143390","RFX5","NM_001025603"
"3085","ENSG00000105643","ARRDC2","NM_001025604"
"3086","ENSG00000138639","ARHGAP24","NM_001025616"
"3087","ENSG00000105053","VRK3","NM_001025778"
"3088","ENSG00000107362","ABHD17B","NM_001025780"
"3089","ENSG00000214021","TTLL3","NM_001025930"
"3090","ENSG00000138326","RPS24","NM_001026"
"3091","ENSG00000160882","CYP11B1","NM_001026213"
"3092","ENSG00000216937","CCDC7","NM_001026383"
"3093","ENSG00000280831","RPS25","NM_001028"
"3094","ENSG00000118181","RPS25","NM_001028"
"3095","ENSG00000197728","RPS26","NM_001029"
"3096","ENSG00000136280","CCM2","NM_001029835"
"3097","ENSG00000179152","TCAIM","NM_001029839"
"3098","ENSG00000179152","TCAIM","NM_001029840"
"3099","ENSG00000113231","PDE8B","NM_001029851"
"3100","ENSG00000113231","PDE8B","NM_001029852"
"3101","ENSG00000113231","PDE8B","NM_001029853"
"3102","ENSG00000113231","PDE8B","NM_001029854"
"3103","ENSG00000196376","SLC35F1","NM_001029858"
"3104","ENSG00000188997","KCTD21","NM_001029859"
"3105","ENSG00000156509","FBXO43","NM_001029860"
"3106","ENSG00000188425","NANOS2","NM_001029861"
"3107","ENSG00000185127","C6orf120","NM_001029863"
"3108","ENSG00000149633","KIAA1755","NM_001029864"
"3109","ENSG00000109851","DBX1","NM_001029865"
"3110","ENSG00000173261","PLAC8L1","NM_001029869"
"3111","ENSG00000186212","SOWAHB","NM_001029870"
"3112","ENSG00000101282","RSPO4","NM_001029871"
"3113","ENSG00000174236","REP15","NM_001029874"
"3114","ENSG00000186479","RGS7BP","NM_001029875"
"3115","ENSG00000198879","SFMBT2","NM_001029880"
"3116","ENSG00000157884","CIB4","NM_001029881"
"3117","ENSG00000126705","AHDC1","NM_001029882"
"3118","ENSG00000179270","PCARE","NM_001029883"
"3119","ENSG00000120278","PLEKHG1","NM_001029884"
"3120","ENSG00000224051","CPTP","NM_001029885"
"3121","ENSG00000196570","PFN3","NM_001029886"
"3122","ENSG00000203795","FAM24A","NM_001029888"
"3123","ENSG00000226784","PGAM4","NM_001029891"
"3124","ENSG00000292221","WDR45","NM_001029896"
"3125","ENSG00000196998","WDR45","NM_001029896"
"3126","ENSG00000066827","ZFAT","NM_001029939"
"3127","ENSG00000185267","CDNF","NM_001029954"
"3128","ENSG00000182308","DCAF4L1","NM_001029955"
"3129","ENSG00000170631","ZNF16","NM_001029976"
"3130","ENSG00000166803","PCLAF","NM_001029989"
"3131","ENSG00000165792","METTL17","NM_001029991"
"3132","ENSG00000197841","ZNF181","NM_001029997"
"3133","ENSG00000120519","SLC10A7","NM_001029998"
"3134","ENSG00000177954","RPS27","NM_001030"
"3135","ENSG00000213741","RPS29","NM_001030001"
"3136","ENSG00000141738","GRB7","NM_001030002"
"3137","ENSG00000101076","HNF4A","NM_001030003"
"3138","ENSG00000101076","HNF4A","NM_001030004"
"3139","ENSG00000213578","CPLX3","NM_001030005"
"3140","ENSG00000006125","AP2B1","NM_001030006"
"3141","ENSG00000166747","AP1G1","NM_001030007"
"3142","ENSG00000134419","RPS15A","NM_001030009"
"3143","ENSG00000006534","ALDH3B1","NM_001030010"
"3144","ENSG00000214285","NPS","NM_001030013"
"3145","ENSG00000122375","OPN4","NM_001030015"
"3146","ENSG00000198931","APRT","NM_001030018"
"3147","ENSG00000164744","SUN3","NM_001030019"
"3148","ENSG00000142515","KLK3","NM_001030047"
"3149","ENSG00000142515","KLK3","NM_001030048"
"3150","ENSG00000100852","ARHGAP5","NM_001030055"
"3151","ENSG00000203805","PLPP4","NM_001030059"
"3152","ENSG00000203727","SAMD5","NM_001030060"
"3153","ENSG00000133794","BMAL1","NM_001030272"
"3154","ENSG00000133794","BMAL1","NM_001030273"
"3155","ENSG00000162772","ATF3","NM_001030287"
"3156","ENSG00000197471","SPN","NM_001030288"
"3157","ENSG00000188452","CERKL","NM_001030311"
"3158","ENSG00000188452","CERKL","NM_001030312"
"3159","ENSG00000188452","CERKL","NM_001030313"
"3160","ENSG00000233927","RPS28","NM_001031"
"3161","ENSG00000132746","ALDH3B2","NM_001031615"
"3162","ENSG00000240230","COX19","NM_001031617"
"3163","ENSG00000205238","SPDYE2","NM_001031618"
"3164","ENSG00000112200","ZNF451","NM_001031623"
"3165","ENSG00000170545","SMAGP","NM_001031628"
"3166","ENSG00000180257","ZNF816","NM_001031665"
"3167","ENSG00000284903","MS4A3","NM_001031666"
"3168","ENSG00000149516","MS4A3","NM_001031666"
"3169","ENSG00000215883","CYB5RL","NM_001031672"
"3170","ENSG00000169228","RAB24","NM_001031677"
"3171","ENSG00000174099","MSRB3","NM_001031679"
"3172","ENSG00000020633","RUNX3","NM_001031680"
"3173","ENSG00000040531","CTNS","NM_001031681"
"3174","ENSG00000119917","IFIT3","NM_001031683"
"3175","ENSG00000115875","SRSF7","NM_001031684"
"3176","ENSG00000143514","TP53BP2","NM_001031685"
"3177","ENSG00000137055","PLAA","NM_001031689"
"3178","ENSG00000159784","FAM131B","NM_001031690"
"3179","ENSG00000128606","LRRC17","NM_001031692"
"3180","ENSG00000010803","SCMH1","NM_001031694"
"3181","ENSG00000277564","RBFOX2","NM_001031695"
"3182","ENSG00000100320","RBFOX2","NM_001031695"
"3183","ENSG00000105223","PLD3","NM_001031696"
"3184","ENSG00000110844","PRPF40B","NM_001031698"
"3185","ENSG00000164125","GASK1B","NM_001031700"
"3186","ENSG00000111696","NT5DC3","NM_001031701"
"3187","ENSG00000082684","SEMA5B","NM_001031702"
"3188","ENSG00000163832","ELP6","NM_001031703"
"3189","ENSG00000169551","CT55","NM_001031705"
"3190","ENSG00000184719","RNLS","NM_001031709"
"3191","ENSG00000122550","KLHL7","NM_001031710"
"3192","ENSG00000113719","ERGIC1","NM_001031711"
"3193","ENSG00000066651","TRMT11","NM_001031712"
"3194","ENSG00000050393","MCUR1","NM_001031713"
"3195","ENSG00000203485","INF2","NM_001031714"
"3196","ENSG00000103599","IQCH","NM_001031715"
"3197","ENSG00000173559","NABP1","NM_001031716"
"3198","ENSG00000163703","CRELD1","NM_001031717"
"3199","ENSG00000102796","DHRS12","NM_001031719"
"3200","ENSG00000138780","GSTCD","NM_001031720"
"3201","ENSG00000176024","ZNF613","NM_001031721"
"3202","ENSG00000223752","ATAT1","NM_001031722"
"3203","ENSG00000235658","ATAT1","NM_001031722"
"3204","ENSG00000229061","ATAT1","NM_001031722"
"3205","ENSG00000231257","ATAT1","NM_001031722"
"3206","ENSG00000234549","ATAT1","NM_001031722"
"3207","ENSG00000206488","ATAT1","NM_001031722"
"3208","ENSG00000137343","ATAT1","NM_001031722"
"3209","ENSG00000164031","DNAJB14","NM_001031723"
"3210","ENSG00000118197","DDX59","NM_001031725"
"3211","ENSG00000131943","C19orf12","NM_001031726"
"3212","ENSG00000037757","MRI1","NM_001031727"
"3213","ENSG00000275272","YTHDC1","NM_001031732"
"3214","ENSG00000083896","YTHDC1","NM_001031732"
"3215","ENSG00000129007","CALML4","NM_001031733"
"3216","ENSG00000099840","IZUMO4","NM_001031735"
"3217","ENSG00000162004","CCDC78","NM_001031737"
"3218","ENSG00000168890","TMEM150A","NM_001031738"
"3219","ENSG00000102048","ASB9","NM_001031739"
"3220","ENSG00000185090","MANEAL","NM_001031740"
"3221","ENSG00000272514","CFAP206","NM_001031743"
"3222","ENSG00000158423","RIBC1","NM_001031745"
"3223","ENSG00000165633","VSTM4","NM_001031746"
"3224","ENSG00000180116","C12orf40","NM_001031748"
"3225","ENSG00000159871","LYPD5","NM_001031749"
"3226","ENSG00000143155","TIPRL","NM_001031800"
"3227","ENSG00000182541","LIMK2","NM_001031801"
"3228","ENSG00000073350","LLGL2","NM_001031803"
"3229","ENSG00000178573","MAF","NM_001031804"
"3230","ENSG00000072210","ALDH3A2","NM_001031806"
"3231","ENSG00000284903","MS4A3","NM_001031809"
"3232","ENSG00000149516","MS4A3","NM_001031809"
"3233","ENSG00000151292","CSNK1G3","NM_001031812"
"3234","ENSG00000183336","BOLA2","NM_001031827"
"3235","ENSG00000102128","RAB40AL","NM_001031834"
"3236","ENSG00000102893","PHKB","NM_001031835"
"3237","ENSG00000215262","KCNU1","NM_001031836"
"3238","ENSG00000110090","CPT1A","NM_001031847"
"3239","ENSG00000166401","SERPINB8","NM_001031848"
"3240","ENSG00000291559","MASP1","NM_001031849"
"3241","ENSG00000127241","MASP1","NM_001031849"
"3242","ENSG00000170848","PSG6","NM_001031850"
"3243","ENSG00000188487","INSC","NM_001031853"
"3244","ENSG00000205126","ACCSL","NM_001031854"
"3245","ENSG00000175556","LONRF3","NM_001031855"
"3246","ENSG00000213741","RPS29","NM_001032"
"3247","ENSG00000136854","STXBP1","NM_001032221"
"3248","ENSG00000278843","MMP28","NM_001032278"
"3249","ENSG00000271447","MMP28","NM_001032278"
"3250","ENSG00000173653","RCE1","NM_001032279"
"3251","ENSG00000137203","TFAP2A","NM_001032280"
"3252","ENSG00000003436","TFPI","NM_001032281"
"3253","ENSG00000155090","KLF10","NM_001032282"
"3254","ENSG00000120802","TMPO","NM_001032283"
"3255","ENSG00000120802","TMPO","NM_001032284"
"3256","ENSG00000120798","NR2C1","NM_001032287"
"3257","ENSG00000244687","UBE2V1","NM_001032288"
"3258","ENSG00000292209","SLC35A2","NM_001032289"
"3259","ENSG00000102100","SLC35A2","NM_001032289"
"3260","ENSG00000134222","PSRC1","NM_001032291"
"3261","ENSG00000103343","ZNF174","NM_001032292"
"3262","ENSG00000010244","ZNF207","NM_001032293"
"3263","ENSG00000149131","SERPING1","NM_001032295"
"3264","ENSG00000102572","STK24","NM_001032296"
"3265","ENSG00000173436","MICOS10","NM_001032363"
"3266","ENSG00000166145","SPINT1","NM_001032367"
"3267","ENSG00000167380","ZNF226","NM_001032372"
"3268","ENSG00000167380","ZNF226","NM_001032373"
"3269","ENSG00000167380","ZNF226","NM_001032374"
"3270","ENSG00000138068","SULT6B1","NM_001032377"
"3271","ENSG00000292208","PQBP1","NM_001032381"
"3272","ENSG00000102103","PQBP1","NM_001032381"
"3273","ENSG00000292208","PQBP1","NM_001032382"
"3274","ENSG00000102103","PQBP1","NM_001032382"
"3275","ENSG00000292208","PQBP1","NM_001032383"
"3276","ENSG00000102103","PQBP1","NM_001032383"
"3277","ENSG00000292208","PQBP1","NM_001032384"
"3278","ENSG00000102103","PQBP1","NM_001032384"
"3279","ENSG00000139531","SUOX","NM_001032386"
"3280","ENSG00000139531","SUOX","NM_001032387"
"3281","ENSG00000205629","LCMT1","NM_001032391"
"3282","ENSG00000183281","PLGLB1","NM_001032392"
"3283","ENSG00000126945","HNRNPH2","NM_001032393"
"3284","ENSG00000112414","ADGRG6","NM_001032394"
"3285","ENSG00000112414","ADGRG6","NM_001032395"
"3286","ENSG00000181191","PJA1","NM_001032396"
"3287","ENSG00000089127","OAS1","NM_001032409"
"3288","ENSG00000291527","USP16","NM_001032410"
"3289","ENSG00000156256","USP16","NM_001032410"
"3290","ENSG00000147127","RAB41","NM_001032726"
"3291","ENSG00000090686","USP48","NM_001032730"
"3292","ENSG00000111335","OAS2","NM_001032731"
"3293","ENSG00000115919","KYNU","NM_001032998"
"3294","ENSG00000078699","CBFA2T2","NM_001032999"
"3295","ENSG00000167325","RRM1","NM_001033"
"3296","ENSG00000129197","RPAIN","NM_001033002"
"3297","ENSG00000285365","DEFB135","NM_001033017"
"3298","ENSG00000205883","DEFB135","NM_001033017"
"3299","ENSG00000285087","DEFB136","NM_001033018"
"3300","ENSG00000205884","DEFB136","NM_001033018"
"3301","ENSG00000100225","FBXO7","NM_001033024"
"3302","ENSG00000162694","EXTL2","NM_001033025"
"3303","ENSG00000182087","TMEM259","NM_001033026"
"3304","ENSG00000280618","CYFIP1","NM_001033028"
"3305","ENSG00000273749","CYFIP1","NM_001033028"
"3306","ENSG00000158234","FAIM","NM_001033030"
"3307","ENSG00000158234","FAIM","NM_001033031"
"3308","ENSG00000158234","FAIM","NM_001033032"
"3309","ENSG00000135821","GLUL","NM_001033044"
"3310","ENSG00000163328","GPR155","NM_001033045"
"3311","ENSG00000178927","CYBC1","NM_001033046"
"3312","ENSG00000168743","NPNT","NM_001033047"
"3313","ENSG00000120832","MTERF2","NM_001033050"
"3314","ENSG00000091592","NLRP1","NM_001033053"
"3315","ENSG00000129221","AIPL1","NM_001033054"
"3316","ENSG00000129221","AIPL1","NM_001033055"
"3317","ENSG00000135821","GLUL","NM_001033056"
"3318","ENSG00000151276","MAGI1","NM_001033057"
"3319","ENSG00000146378","TAAR2","NM_001033080"
"3320","ENSG00000116990","MYCL","NM_001033081"
"3321","ENSG00000116990","MYCL","NM_001033082"
"3322","ENSG00000108187","PBLD","NM_001033083"
"3323","ENSG00000172264","MACROD2","NM_001033087"
"3324","ENSG00000182768","NGRN","NM_001033088"
"3325","ENSG00000120727","PAIP2","NM_001033112"
"3326","ENSG00000188833","ENTPD8","NM_001033113"
"3327","ENSG00000196220","SRGAP3","NM_001033117"
"3328","ENSG00000152700","SAR1B","NM_001033503"
"3329","ENSG00000006042","TMEM98","NM_001033504"
"3330","ENSG00000176102","CSTF3","NM_001033505"
"3331","ENSG00000176102","CSTF3","NM_001033506"
"3332","ENSG00000157954","WIPI2","NM_001033518"
"3333","ENSG00000157954","WIPI2","NM_001033519"
"3334","ENSG00000157954","WIPI2","NM_001033520"
"3335","ENSG00000101138","CSTF1","NM_001033521"
"3336","ENSG00000101138","CSTF1","NM_001033522"
"3337","ENSG00000105393","BABAM1","NM_001033549"
"3338","ENSG00000175662","TOM1L2","NM_001033551"
"3339","ENSG00000128487","SPECC1","NM_001033553"
"3340","ENSG00000128487","SPECC1","NM_001033554"
"3341","ENSG00000128487","SPECC1","NM_001033555"
"3342","ENSG00000138032","PPM1B","NM_001033557"
"3343","ENSG00000256061","DNAAF4","NM_001033559"
"3344","ENSG00000256061","DNAAF4","NM_001033560"
"3345","ENSG00000109118","PHF12","NM_001033561"
"3346","ENSG00000203778","FAM229B","NM_001033564"
"3347","ENSG00000126858","RHOT1","NM_001033566"
"3348","ENSG00000126858","RHOT1","NM_001033568"
"3349","ENSG00000196704","AMZ2","NM_001033569"
"3350","ENSG00000196704","AMZ2","NM_001033570"
"3351","ENSG00000196704","AMZ2","NM_001033571"
"3352","ENSG00000196704","AMZ2","NM_001033572"
"3353","ENSG00000196704","AMZ2","NM_001033574"
"3354","ENSG00000188542","DUSP28","NM_001033575"
"3355","ENSG00000141161","UNC45B","NM_001033576"
"3356","ENSG00000104205","SGK3","NM_001033578"
"3357","ENSG00000278372","MYO19","NM_001033580"
"3358","ENSG00000278259","MYO19","NM_001033580"
"3359","ENSG00000067606","PRKCZ","NM_001033581"
"3360","ENSG00000067606","PRKCZ","NM_001033582"
"3361","ENSG00000123130","ACOT9","NM_001033583"
"3362","ENSG00000132938","MTUS2","NM_001033602"
"3363","ENSG00000122507","BBS9","NM_001033604"
"3364","ENSG00000122507","BBS9","NM_001033605"
"3365","ENSG00000122224","LY9","NM_001033667"
"3366","ENSG00000157782","CABP1","NM_001033677"
"3367","ENSG00000149743","TRPT1","NM_001033678"
"3368","ENSG00000111641","NOP2","NM_001033714"
"3369","ENSG00000176222","ZNF404","NM_001033719"
"3370","ENSG00000164684","ZNF704","NM_001033723"
"3371","ENSG00000112715","VEGFA","NM_001033756"
"3372","ENSG00000100316","RPL3","NM_001033853"
"3373","ENSG00000152457","DCLRE1C","NM_001033855"
"3374","ENSG00000152457","DCLRE1C","NM_001033857"
"3375","ENSG00000152457","DCLRE1C","NM_001033858"
"3376","ENSG00000072778","ACADVL","NM_001033859"
"3377","ENSG00000170545","SMAGP","NM_001033873"
"3378","ENSG00000107562","CXCL12","NM_001033886"
"3379","ENSG00000082512","TRAF5","NM_001033910"
"3380","ENSG00000151923","TIAL1","NM_001033925"
"3381","ENSG00000221983","UBA52","NM_001033930"
"3382","ENSG00000110680","CALCA","NM_001033952"
"3383","ENSG00000110680","CALCA","NM_001033953"
"3384","ENSG00000171848","RRM2","NM_001034"
"3385","ENSG00000178028","DMAP1","NM_001034023"
"3386","ENSG00000178028","DMAP1","NM_001034024"
"3387","ENSG00000089248","ERP29","NM_001034025"
"3388","ENSG00000270276","H4C15","NM_001034077"
"3389","ENSG00000115211","EIF2B4","NM_001034116"
"3390","ENSG00000141437","SLC25A52","NM_001034172"
"3391","ENSG00000136010","ALDH1L2","NM_001034173"
"3392","ENSG00000123737","EXOSC9","NM_001034194"
"3393","ENSG00000269791","SSX4B","NM_001034832"
"3394","ENSG00000145912","NHP2","NM_001034833"
"3395","ENSG00000276432","RDM1","NM_001034836"
"3396","ENSG00000278023","RDM1","NM_001034836"
"3397","ENSG00000182132","KCNIP1","NM_001034837"
"3398","ENSG00000182132","KCNIP1","NM_001034838"
"3399","ENSG00000205730","ITPRIPL2","NM_001034841"
"3400","ENSG00000276595","PTCHD3","NM_001034842"
"3401","ENSG00000182077","PTCHD3","NM_001034842"
"3402","ENSG00000174473","GALNTL6","NM_001034845"
"3403","ENSG00000154153","RETREG1","NM_001034850"
"3404","ENSG00000198732","SMOC1","NM_001034852"
"3405","ENSG00000156313","RPGR","NM_001034853"
"3406","ENSG00000115041","KCNIP3","NM_001034914"
"3407","ENSG00000104413","ESRP1","NM_001034915"
"3408","ENSG00000095637","SORBS1","NM_001034954"
"3409","ENSG00000095637","SORBS1","NM_001034955"
"3410","ENSG00000095637","SORBS1","NM_001034956"
"3411","ENSG00000095637","SORBS1","NM_001034957"
"3412","ENSG00000188846","RPL14","NM_001034996"
"3413","ENSG00000198626","RYR2","NM_001035"
"3414","ENSG00000185774","KCNIP4","NM_001035003"
"3415","ENSG00000185774","KCNIP4","NM_001035004"
"3416","ENSG00000177576","C18orf32","NM_001035005"
"3417","ENSG00000265681","RPL17","NM_001035006"
"3418","ENSG00000205517","RGL3","NM_001035223"
"3419","ENSG00000152061","RABGAP1L","NM_001035230"
"3420","ENSG00000213523","SRA1","NM_001035235"
